sentiment,text
-1,2019an ezinezko jotzen dut ahta abian jartzea 2020 edo 2021ean izatea nahi nuke
-1,2019an ezinezko jotzen dut ahta abian jartzea play_button
0,2020 aurretik ere 25 urtetik beherakoen 75 eta euskalduna izango daeskoletan euskara irakasten baita
0,2020 urterako helburu gisa ezarri du 25 urtetik beherako 75k euskaldunak izan daitezela
0,2020rako industria euskal ekonomiaren 25a izatea da eajren helburua
1,22 horrelagatik gaur inoiz baino gehiago euskal naziotasuna behar dugu
1,22 nekeziak izan ginituen euskaldun batekin aritzeko ene semeak ez zakien espanola
-1,223 orritik aurrera hemen
0,24 puntu 2016an eta 25 2017an 37000 lanpostu eta langabezia tasa 97 2017ko amaieran
1,25 urtetan lan egin dut euskara ingelesa eta frantzesa badakizkit baina gaztelerarik ez
1,25an pnvren politika neoliberal eta bihotzgabeei aurre egiteko aukera dago ez dezagun aukera gal
-1,25ean bozkatu ta gero etorri botuk kontatea ondaruko ehbilgunea bozkatu
1,25ekoa mugarri sozialistak independentistak eta feministak garelako egin irri eta herri eta bozkatu eh bildu
1,25s euskadi gpsgobierno vascon pnv 26 escaños ehbildu 17 elkarrekinpodemos 15n
0,3 ideia n1 gizarte babesa indartun2 hazkundea enpleguan3 itun politiko berria nazio izaera aitortu
0,3 konpromiso enplegu gehiago 8500 milioiko inbertsioa eta gazteentzat lan esperientzia praktiko
1,3 politikari haundi eh eta catalunya aske eta duin baten alde lanean ta
1,3 zutabe oinarri k bakea justizia soziala eta demokrazia
1,30 minutu kanpaina analizatuz euskadi irratian otegi eta maddalen iriarte aipatu ere ez
-1,30 urte baietz hainbeste eserleku eusko jaularitzann n
1,30 zara eta 51 bihurtu nahi duzu jarri bat eta monigote batzuk zure bizitzan
0,300 lagunetik gora bildu ditu ren mitinak lekeition
1,36a inkesta batzuk 6 aukera ematen dizutenakbaina ez edo bai galdetzerakoan gehiengoa dugu ere
0,4 iriarte karisma duela ikusi da jasone agirre gehiago da casanova mendia eta alonso madril dute epizentro
1,4 iriarte karisma duela ikusi da jasone agirre gehiago nabarmendu da casanova mendia eta alonso madril dute epizentro
1,45 baino gehiago dituen jendea 45 zer lotsagarria da lotsagarria zara
0,48h falta dira euskaldunak kalera atera eta gure etorkizuna erabakitzeko gaur bilbon arekin
0,5 hauteskundeetako emaitzak araba 000 zba frogaki25 eserlekuak nvox 0nr0 0npse 0npp 0npacma 0noe 0
1,5 hauteskundeetako emaitzak eae 000 zba frogaki25 eserlekuak nvox 0nr0 0npse 0npp 0nph 0npfyv 0
1,5 hauteskundeetako emaitzak gipuzkoa 000 zba frogaki25 eserlekuak nr0 0npse 0npp 0npfyv 0npacma 0nln 0
-1,5 minututan behin agertzen da ezer ez du esaten eta berrize joan egiten da
0,57 etxe kaleratze 2016ko lehenengo hiruhilabetean pertsonak helburu
1,6 hauteskundeetako emaitzak bizkaia 000 zba frogaki25 eserlekuak nr0 0npse 0npp 0nph 0npfyv 0npacma 0
0,6 hauteskundeetako emaitzak gipuzkoa 000 zba frogaki25 eserlekuak nr0 0npse 0npp 0npfyv 0npacma 0nln 0
1,7 hauteskundeetako emaitzak araba 000 zba frogaki25 eserlekuak nvox 0nr0 0npse 0npp 0npacma 0noe 0
1,7 hauteskundeetako emaitzak bizkaia 000 zba frogaki25 eserlekuak nr0 0npse 0npp 0nph 0npfyv 0npacma 0
-1,7 hauteskundeetako emaitzak eae 000 zba frogaki25 eserlekuak nvox 0nr0 0npse 0npp 0nph 0npfyv 0
-1,70 gastu soziala 20 hezkuntza 38 osasuna 128n flushed_face flushed_face flushed_face flushed_face flushed_face flushed_face flushed_face flushed_face
-1,7500 milioi euro ekonomia suspertzeko bideratuko dira berrikuntza eta nazioartekotzea zabaltzen jarraitzeko
1,78ko erregimenak ez dio herri honi aurrera egiteko biderik ematen
0,7etan hasiko den solasaldia auzolanean prestatzen ari gara mokadu eta guzti k pentsioetarako duen propos
0,8 urte zer egin jakin gabe egon ondoren k ilea hartu nahi dizu
0,80 gernikar apuntatuta ean ren ahaldunak izateko hori da konpromisoa eskerrik asko
1,900 euroko soldatekin ezta
1,900etan ean izango da zuzenean ikusteko
0,a
-1,a gezurretan zabiltza atzera ere osakidetzan forentseek 2 perfila behar dute beste mediku guztiak bezala eta badakizu
0,a hobeto ulertzen dut smiling_face_with_smiling_eyes
1,a la derecha no se le ocurre nada nuevo hemen eta edonon zabor ideologikoa beti berdin
0,a las 12 y en la herriko plaza de presentando te esperamos
-1,a las 13 horas con a damborenea
0,a las 13h00 nnha sido tendencia en españacon el primer twitter mandado fragn n barakaldo
1,a ls 1800 en gasteiz iñigo errejón y nuestra candidata a lehendakari pili zabala síguelo aquí
0,a mi lo de elkarrekin podemos me suena a euskañol
1,a mí me salen unos cuantos más
0,a mi meha bloqueado menuda candidata
-1,a por boletus
1,a punt x la llibertat de catalunya
0,a punto de empezar el acto con y en donostia
0,a punto de empezar el ekitaldi
-1,a tomatazos le recibia yo al joputegi
1,a tu ley de transparencia
0,a una semana del cambio
-1,a urkullu
0,a urkullu le gusta maddalen
0,a ver daon apaiza sermoiak elizatan ai amaaaaaaa logurie sartzen jat bakarrik i entzuten
0,a ver guzman y
0,a ver si aki se dan cuenta algunos de eso
-1,a ze hauteskunde kanpaina eleganteak egiten dituzten aiako koek smiling_face_with_smiling_eyes
1,a ze hirukotea gaur n onenak
1,a ze lujoa
0,a ze maila erakutsi duten jasonemiren eta maialenek izugarria
1,a ze nazka gezurretan ari zarete jakinaren gainean euskaldunak gara euskaraz arreta jasotzea ukatzen zaigun herritarrak
1,a ze nolako hiru emakume gaur zarmagan ditugunak gora borroka feminista
1,a ze nolako lotsa gutxi duzuena ausolotsa
1,a ze sorpresa tve1ean goizeko gosarietan
1,a zelako maila eskasa nhauteskundeen ostean euskaltegira
1,a zer laukotea bejondeizuela
-1,a zer nolako taldea elkartu garen en ren kanpaina hasieran
1,abadiñon ere jotake lanean herri guztia ren proposamenekin konbetzitzeko borrokatzera goaz
0,abadiñotik bilbora bidean miribilla txiki uzteko asmoarekin independentzia eta sozialismoa
-1,abadiñotik bilbora bidean miribilla txiki uzteko asmoarekin independentzia eta sozialismoa
-1,abala lendakarin nvota nn
-1,abertzaleen artean pnv kokatzen baduzu 48 vs 27 orain gehiengo hori zabalagoa eta transbertsala izango da hor dago koxka
1,abesti liluragarrianpertsonai mundiala
0,abian eko saioa ren hautagaiekin
0,abstentzioa ez da posizio egokia
0,abstentzioak ez du eusko jaurlaritza independentziaruntz bultzatuko
0,abstentzioarekin ezduzu ezer lortuko eh bildu bozkatzen agian hitz handiak dira ehbildu ezdela ezkertiarra esatea
-1,abstentziora joko dut k la bicicletarekin kanpainan umore pixkat sartu duelako logika itzela bai horixe eta eztabaida antzua
0,abstentziora joko duten presoak ere errespetatu behar dira adierazpen askatasuna
0,acaba el acto de barakaldo con
0,acabo de hacer la porra del nehb podemos 38 lehendakari n bidez
0,activando el círculo de educación de hezkuntza zirkulua abian jartzen
0,acto campaña vitoriagasteiz con iñigo errejon y pili zabala elkarrek
-1,acto de campaña en barakaldo
0,acto de eh bildu con anabel sanz basauri n data eta ordua n n via
0,acto de eh bildu con diana urrea bilbo n data eta ordua n n via
1,acto de eh bildu con oskar matute bilbo n data eta ordua n n via
-1,acto de eh bildu con oskar matute eibar n data eta ordua n n via
1,acto de eh bildu con oskar matute erandio n data eta ordua n n via
0,acto de eh bildu oskar matute maider otamendi irun
0,acto de eh bildu oskar matute maider otamendi irun n data eta ord via
0,acto de eh bildu sestao n data eta ordua nn via
-1,acto de eh bildu zalla n data eta ordua nn via
-1,ada colau arabatik doa ze poza
0,ada colau pili zabala eta nagua alba donostian
1,ada de cuento
0,adelante
1,adelante compas
1,adibide bat da otegi mola sexo eh bildu y rockn roll bakartxon elektrokunbia patroi bat da
-1,aditz konmuztaduran akatsa hasieran
-1,administrazioa aldatu behar da
0,administrazioa hezkuntza eta osasingintza berriztuko du k lehendakari izendatuz gero
0,administrazioan lan egiteko herriko hizkuntza ezagutzea ezinbestekoa da hemen eta edononn
1,admititu onartuuuuuu
0,adobe flash behar da ostia 2016 urtean ze putalarru
1,ados ekin ren taldean euskalgintzak pisu handia izatea nahi nukeen
-1,ados eta espainiak ez badu adostu nahi gure legebiltzarra nagusin
0,ados independentziarik gabe ez da demokraziarik horregatik ez dut bozkatuko okupazioa ez zilegiztatzeko
1,ados lander integraziorako tresna baliagarria ere bada garestia ordea pertsona askorentzat
0,ados nago
0,ados nago gune erdalduneta ahalegin handiagoa egin behar da denok jakin dezagun
-1,adosepe ertainera ikerketa eta zientzia herri batentzako beharrezkoa da ez bakarrik industriara bideratua dena
0,adostasuna eta ituna da bidea ezberdinen arteko akordioa
0,adostu dezagun biharamun egunean egingo dugunahain zaila da hori esatea urkullu jauna
-1,adoz zu zer pentsatsen dezu anoetari buruz
1,agenda propia izateko beharrezkoa bestela beti ginateke erdal agendaren atzetik
0,agenda vasca de euskadi mendia dixit
1,agerraldia egiten ari da
-1,agertokia ere prest duzu nn nbozkatu
1,agiak 1400 familiei laguntzen die rgiren baldintzak betetzen ez dituzten asko ze helburu ez dira betetzen
-1,agian k eta knindependentziarako akordioa n lortuko dutela uste dute
1,agian urkullu egin egunkariko irakurle amoratua zen
-1,agiren helburu nagusia gizartean sartzea bermatzea zen argi eta garbi ipintzen du tamalez ez da lortu
1,agirre beharrezkoa da indar politiko guztiek argi uztea zeintzuk diren egin nah via
0,agirre larunbateko miribillako ekitaldian erakutsiko dugu eh bildu goraldian da via ehbildu
0,agirre lehendakariak independentzia nahi dugulako eskatu zuen k behar dugulako gehitzen dun
1,agoniza
1,agur majo
1,ah ba fcebooken be bai orduan
1,ah bai euskara xelebrea hau
1,ah bai euskara xelebrea hau
0,ah bueno
1,ah pero era una réplica
0,ahastu face_screaming_in_fear face_screaming_in_fear
1,ahastu face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy ai ene
1,ahaztu ein dozu xabier usabiagaurkullurentzako programa a medidaurkullu no se mojamaddalen txapeldun
0,ahaztu zaio ri ez zutela ikasle euskaldun eleaniztunen ren proposamenaren alde eginn
0,ahora con suerte compañero
1,ahora en directo
0,ahora la futura lendakari
1,aht lotsagabeki bultzatzea leporatu diete eaj pp pse eta elkarrekin podemosi
0,ahtak batzuei balio die beraien alderdi ekonomiak saneatzeko play_button
0,ahtaren alde
1,ahtaren kudeaketa nola egin den ez zaigu gustatu baina bukatu behar da
1,ahtren 85a egina dagoenez diote ez dagoela erremediorik guk halere nahiago dugu ez egitea
1,ai ama bideoa ez neukan ikusita uste nuen meme bat baino ez zela see-no-evil_monkey
0,ai ama hori apartheid da boikot aktiboa egiten didazu ni ere otegi bezala nago ezin parte hartu
1,ai ama ze egongo dira n pentsatzen momentuotan
1,aian gero eta euskara gutxiago erabiltzen da seguru k bideo bat egiten duela konponbideak proposatuz
0,aipatua izan da eta programan dago
0,aitortu behar da k jendea mugiarazteko gaitasuna duela beterik baitago
-1,aitzindariak eta aurrerakoiak diren politika sozialak behar ditugu
0,aitzol c eredu ekonomikoa aldatzeko beharra dugu
0,aitzol cajaraville acelorren gertaturikoa azaltzen 250 langile kale gorrian
0,aitzol cajaraville beasainen murrizketak langileok jasaten ditugu zertarako batzuek beren poltsikoa betetzeko
-1,aizu kritikak entzutea lehendakariaren soldatan sartzen da zuk ulertzen duzu batzuk nahiago izatea ibarretxe urkullu baino
-1,aizu zergatik zure twitak ikustean ateratzen ari zait ren iragarkiaegun batzuk daramazkit tired_face tired_face
1,aizue ko lehendakarigaiak ri botoa eman ziola esan du titularrak bihar mesedez
1,ajena
-1,ajuria enean emakume bat nahi dut eta emakume hori da
-1,akaso k ikusiko ditu kartelok alde zaharrean llenaremos las calles de bilbo
0,akelarreeee
0,akordio interprofesionala euskal esparrua babesteko ados nork esan zaizun ezetz 2013an ek akaso
0,akordio zabalak lortzeko deia egin diegu eaj podemosi kalitatezko 40000 lanpostu sortzeko gazte eta emakume prekarietatea amaitzeko
-1,akordio zabalekin lau urte hauek aprobetxatu behar ditugu ehren eraikuntzarako
0,akordio zabalen aroa akordio zabalen aroa bizi dugu horrela ondo via
1,akordioa ren proposamen guztien oinarrean dago noski
0,akordioak legebiltzarretik irten behar du akordio anitza ezberdinen artekoa
1,akordioak norekin guk argi dugu atzo maddalenek esan zuen bezala
1,akordioen legealdia urkullu autogobernu ponentzia hilda euskal legeei errekurtsoak madrilen jarriz etab
-1,akordiorako deia luzatu diegu eta i just soziala burujabetza eta bakea lortzekon
0,al final hemos usado el paraguas de guardasola
1,al lado del restaurante jatetxea de la plaza enparantza
0,al loro gaur ppk beste bideo lotsagarri bat argitaratu dueta
0,al menos las dan kafre
1,al pnv
1,alabek esaten didaten bezala sentitu pentsatu ekin denok elkarrekin gora amaieran
0,albiol quien es albiol
-1,álbum fotos e en
1,aldaketa errealitate ein dezagun nire bozka bidean da jada aupa gazte migranteok ere
0,aldaketa soziala herri feminista defendatzen duen gobernua ta espainiatik alde eiteko benetako aukera nahi baduzu bozka
1,alde biko bidean berriro luzatu dio eskua k ri hark erantzun egin dezagun bidea
0,alde hemendik
-1,alde hemendik ciudadanos nguk independentzia nahi dugu
0,aldebakartasuna ere hitz bat da soilik atzean proiekturik eduki ezean
-1,alderdi guztiekin akordioetara iristeko predt gaude eneko andueza pse eusko legebiltzarrerako hautesk
0,alderdi guztiekin hitz egingo dugu ez daukagu inongo arazorik gure emaitzak ona izango direlako ja ja ja n
0,alderdi politikoak sexismoaz eztabaidatzen
0,alderdi politikoei k luzatutako galderei erantzunez hemen ko ren erantzuna
-1,alderdi sozialistako kideak programako lehentasunak azaltzen aritu dira 
-1,alderdiaren garaia urkullu lehendakari
-1,alderdiaren garaia urkullu lehendakari
-1,alderdiaren garaia urkullu lhkn
0,alderdiei legea betetzea eta eusko jarlaritzako aurrekontuaren 07a lankidetzara bideratzea eskatzen diegu
0,alderdiei legea betetzea eta eusko jarlaritzako aurrekontuaren 07a lankidetzara bideratzea eskatzen diegu
0,alderdiekin erroldak aurrera darrai atzo ahal dugukinnsare explica su campaña yo denuncio a podemos
0,alderdien hautagaiekin erroldan rekin ere bildu garansareko ordezkariak rafaela romerorekin
-1,alderdietako hautagaiekin errolda abiatu dugu gaur ehbilduko rekinnpozik salatzen dut bere egiteaz
0,alderdikide batek bere liderrak debate bat irabazi duela esatearen balioa 0
-1,aldiz domaia ez dutela galdegin eajehbildupodemos bidez
0,aldiz hiritarrok zerbitzua euskaraz jasotzeko bai izan daitekeela oztopo nahiz eta hizkuntza ofiziala izan
1,aldiz orain langilek eskuin abertzalearn presioa jasatn dugu
-1,aleluya baina berandu
0,alerta mundialasi es galiciaespaña 
-1,alfer akonplejatu inposatzaileak eta irakasle dira
-1,alfonso alonso trampea datos del consejo escolar para atacar a la enseñanza en euskara
0,alfonso alonsoren adierazpen guztietan eajpnvren kontrako eraso bat dago
1,algortako gazteek argi daukate i25 eh bildu
0,algortako gazteok
0,algortako plazan topera neuskal errepublika independiente aske eta feminista n
1,alguien ha mencionado canadá
0,alienígenas n
0,alkartasun egunean bilbon justizia soziala euskal herria giza eskubideak ardatz
0,alkate eta zinegotzi ohiek babesa eh bilduri irailaren 25erako 
-1,alkateak eman dio hasiera errenterian ko ekitaldiari
0,alonso enmudece ante pili zabala via
1,alonso eta mendia liskartu dira erakutsi guran nor den autentikoagoa euskararen kontrako politiketan
-1,alonso ezin da lehendakari izan euskaldunen eskubideak baztertzen dituelakonzabala gaitasunik ez duelakonmendia ay mendian
-1,alonso ha hecho lehendakaritza a
-1,alonsok txio bat idatzi dio zabalari zure anaia galen terrorismoak hil zuen joxi zabala zenaren a
0,alonsoren irainaren aurrean nire elkartasuna arerio politikoarekin
1,alor honetan arnaldo otegi falta da ze erraza den batzuentzat ezker abertzaleaz hitz egitea ezker abertzaleako kiderik gabe
0,ama azkenean ekitaldia kanpoan egiten ari gara rekin ez ginen kabitzen aurrera
1,amasa villabonako gazteek mural dotore hau margotu dute herri berri baterantz gazteok n
0,ambas hemen dauzkazu gure proposamenak
0,amen
-1,aminos para adelante
0,amorrua lotsa auzolotsa nazka hitzak falta k euskaldunok beraz elebidunok irainduz egindako bideoa ikusi ostean
1,anaiakgermans
-1,anarik dio eskerrak ahulak garen ahulak gara bai baina gure ahultasunak indartsu egiten gaitu ausart
-1,anbotoko marik madarikatu dezala orain ezin dut hau burutik kendu
0,anderea errespetu osoz baina iruña bisitatzea gaizki ez legoke eta ez san ferminetan 
0,andoni ortuzarrek pnv dio independentzia ez dela bideragarri gaur egungo europan
1,anima zaitez laguntxo pixka bat es mucho
0,animatu
1,animo ba ni lasai gelditzen naiz eajehbildu batuketa eginaz nire begi napar ukerra izanen da
1,animo eta aurrera sakana nafarroa
0,animo joxe denetik dago eta hemen eta
-1,animo lan edarra eitten zabizie eta
-1,animo lotsagarria izan alonsoren erantzuna
0,animo pili badakizu askok zurekin gaudela egunez egun besteon kritikak ez gaituzte geldituko aurrera ta irabaztera
0,animo pili tu puedes
-1,animo ta aupa zuek eta beti aurrera
0,anjel lertxundi ko hitz besten ren spotari buruz
1,anna gabriel historiako borrokalariak defenditzen jarraituko dugu bezalako pertsonak omentzen jarraituko dugu
0,anoeta buruz
1,antifaxista nantifaxista izatea ez da delitua n n n
1,antza aht burutzeko asmoa du horrela da ez da hobeto eta
1,antza denez ez dago diasporarik argentinan urugauyen venezuela d
0,antza k erabakitzen du orain zer den tortura eta zer ez esan gabe doa ondorio latzenak sarri ez ditue
0,antzerako parezido
0,antzua ren kanpaina botoak irabazi beharrean galtzen ari baita jaiari buruz k esandakoarekin bat
0,apoteósico el mitin de hoy urkullu lehendakari
1,aprendiendo idiomas con ez zaio ezer ulertzen
-1,aquí puedes seguir el acto
0,araba bizkaia eta gipuzkoa espainiarekin alderatuz eredu ezberdinak ditugu
-1,arabako azken jarlekua eaj eta csen artean jokatuko danaraba abertzalea vs euskadiren autogobernua mehatxatzea
1,arabako erreken egoera konpontzeko 125 milioi euroko inbertsio plana aurkeztu dug via ehbildu
0,arakaldo de pollo
-1,arantxa tapia ekonomiaren garapen eta lehiakortasuneko sailburua ren izenean
-1,arantxa tapiari egindako elkarrizketa argitaratu dut n biztanleekin konektatzen asmatu du eajk”
0,arazo politikoak ezin dira bultzaka konpondu l mintegik atzo herriak pertsonak dira 
1,arazoa da abertzale hoiek gutxi enteratzen direla eajk edo urkulluk esaten dutenaz zoritxarrez twitter gutxik erabiltzen dugu
0,arazoa ez da mendia batek gaizki egitea orain dela 10 urte bezain gaizki egitea baiziknleire narbaiza
1,arazoak dauzkagu zalantzarik gabe ondo ezagutzen ditutnbaina benetan bide onetik goaz
-1,ardatz estrategikoak aukeratu ditugu inbertsio produktiboa berr
0,ardatz estrategikoak aukeratu ditugu inbertsio produktiboa berrikuntza nazioartekotzea
1,arenalean ezin egon izanaren penaz eta inbidiaz orain kartelez josi herri eta auzoak bozkatu
1,aretoa txiki geatu ta ekitaldia kanpoan in ber izatia smiling_face_with_smiling_eyes
1,aretoa txiki gelditu da leioako campusean arnaldo otegi eta laura mintegi entzuteko
-1,aretoa txiki gelditu da leioako campusean arnaldo otegi eta laura mintegi entzuteko
-1,argazki ederra winking_face winking_face
1,argazki kanpainari bultzadakeinua irribarrea eta ilusioa
0,argentina bisitatu ez duten lehendakari bakarrak eta n
1,argi dago gaurkoa sakonean ren aldekoa dala batez be euzko langileen alkartasuna sindikatuaren aldetik
1,argi dago independentistok bozka bakarra dugula
1,argi dago politikan sartzeko gutxiegi eskatzen dela bidez
1,argi dago ren errefentzia markoa espainia dela eta horrek hondora garamatza bila ditzagun erreferenteak beste toki batean
0,argi dago urkulluk etxeko lanak egin ditu errealitatea ondo aztertuta datuak ikasita eta irtenbideak zehaztuta
0,argi dagoena hurrengoa da euskal alderdiak batera joan behar garela
1,argi eta garbi irabazi du
-1,argi geratu da hitz bakarrean nork ordezkatzen gaituen euskaldunoi
1,argi izan eraikitzeko aukera bakarra da
1,argi utzi zuen k oreretanitoan doan estatu batzuen menpe aritzea baino abentura handiagorik ba ote dago
0,argi zegoen eta argi dago n da herritarron gehiengoaren erabakia azkeneraino eramateko prest dagoen alderdi politiko bakarra
-1,argia eta zorrrotza euskararekin politikeri gutxiago alor honetan eta herritarron hizkuntza eskubideak bermatu
-1,argia eta zorrrotza euskararekin politikeri gutxiago alor honetan eta herritarron hizkuntza eskubideak bermatu
-1,argiago ezinezkoa gazteok amurrion etorkizun duina irabaztera goaz
1,argitaratu dut n ri egindako elkarrizketa presoak euskal herriratzearen alde dago pseee
1,argitu du 2004ko estatutuko printzipioen alde bozkatuko lukeela
1,argudio okerra nire ustezbildu injustiziei buruz aritzen da etengabenbestela nola egin aurre injustiziei espainian
0,argumentuei eta proposamenei baino moderatzaileari so ibili direnek argi islatu dute nork irabazi duen
1,ari ari ari lehendakari
1,ari ari ari lehendakari
1,ari ari ari pili lehendakari nzorte on n n
1,ari ari ari pili lehendakarigaur zarautzen eskerrik asko
1,arimarekin defendituko dut nire aitaren etxea
0,aritz lehiakideak urkullu lehendakariaren ahotsa du face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy edonor lokartzeko modukoa face_with_tears_of_joy
1,arlo ezberdinetako aritu ta adituekin osatzen ari den istorio eder bat da eh bildu aniztasuna da ren ezaugarri bereizgarriena
0,armaldo otegi in da house
0,arnaldo arabako eta gasteizko izpiritua aldarrikatzen euskal herri osora zabaldu nahi dugu
-1,arnaldo barrera veee
1,arnaldo coelho
-1,arnaldo etorriko da
-1,arnaldo fez eu sair de casa kkkkkk
-1,arnaldo gure lehendakari
1,arnaldo inbidia latza pasako zenuen ez
-1,arnaldo iparraldeari dagokionez zer
0,arnaldo itzela neretzako gure lehendakaririk onena izango dena ahulkia hartu gabe
0,arnaldo jabor o militante imaginário
0,arnaldo lehendakari
0,arnaldo otegi
0,arnaldo otegi
0,arnaldo otegi agertzen den saioen emisioa bertan behera uzten badute otegi etb1eko meza santura joatea 22
0,arnaldo otegi bakarra delaeta ezker abertzaleak historikoki izan duen gabezia bat gainditu du maddalen iriarterekin komunikazioa
1,arnaldo otegi da sare sozialak hobekien kudeatzen dituen hautagaia
-1,arnaldo otegi dispertsioa hasi zenetik 17 hildako egon dira
-1,arnaldo otegi eh bilduren ekitaldian gasteizen
1,arnaldo otegi erabakiak hemen hartzen baditugu hobeto ala okerrago biziko gara erabakiak madrilen edo bruselan
0,arnaldo otegi eta jasone agirre bihar bergaran
1,arnaldo otegi ezin da twitterren egon
1,arnaldo otegi falta da raised_fist
1,arnaldo otegi kendu eta maddalen iriarte ikusiko dugu oraingoan
0,arnaldo otegi loren
1,arnaldo otegi presenta a miren larrion jasone agirre y maddalen iriarte en forum europa
1,arnaldo otegi preso gaixoen eta dispertsioaren estabaida ez dugu onartuko arrazoia ez daukatelako
1,arnaldo otegi usurbilen gaur ehbilduren gazte ekitaldian
-1,arnaldo otegi y miren larrion conversando sobre araban
0,arnaldo otegik berak esaten duenez
1,arnaldo otegin
-1,arnaldo otegiren hitzartze osoa n jtk raised_fist n n
-1,arnaldo otegiren hitzartzea miribillako ekitaldian
1,arnaldo otegiren mezua bizkaitarrei
1,arnaldo otegiren mezua bizkaitarreinmensaje de arnaldo otegi a los y las bizkaitarrasnn
1,arnaldo otegiri elkarrizketa orain telebista publikoan kataluniakoan
1,arnaldo putzo art
1,arnaldo samaniego frowning_face_with_open_mouth
1,arnaldo sin duda
1,arnaldo tamayo méndez hizo historia
1,arnaldo tamayo méndez hizo historia
1,arnaldo tamayo méndez hizo historia
1,arraiamaeztun ere argi daukagunguk ehbildun
0,arranca la campaña de la gente en santurtzi
