Date,Header
"22. Uzt, 2022
",Itziar Cortés - Itzulpengintza etengabeko eraldaketa teknologikoan murgilduta
"22. Uzt, 2022
",Beñat Çuburu-Ithorotz - Historia de la migración transfronteriza en América y sus representaciones
"21. Uzt, 2022
","Miren Estensoro - EUSKAL EUROHIRIA, mugaz gaindiko polizentrismo-eredua"
"20. Uzt, 2022
",Igartzak Mugikortasun Adimentsuari buruzko  Uda Ikastaroa hartuko du irailaren 15ean
"20. Uzt, 2022
",Cristina Alonso Saavedra - Cambio climático y feminismo
"20. Uzt, 2022
","Christophe Sohn - EUROCITÉS BASQUES, modèle de polycentrisme transfrontalier"
"20. Uzt, 2022
",Giacomo Delledonne - La cooperación transfronteriza a prueba de las crisis europeas
"08. Api, 2020
",Hezkuntza ez da gelditzen
"07. Api, 2020
","Protokoloa, diplomazia eta segurtasuna. Erronkak XXI. mendean"
"03. Api, 2020
","Garai hauetan, hezkuntzan jardutea inoiz baino nekezagoa da emozioen ikuspuntutik"
"31. Mar, 2020
",Zertan lagun gaitzakete simulazio matematikoek?
"31. Mar, 2020
",Geldituko al du pandemiak terrorismo jihadista?
"31. Mar, 2020
","Koronabirusaren erronkaren aurrean, Uda Ikastaroek online programa indartu dute"
"30. Mar, 2020
",2020 online Ikastaroen izen ematea irekita dago
"25. Mar, 2020
",Azken plazak! Pedagogia terapeutikoari buruzko online ikastaroa
"03. Abe, 2019
",XXXVIII Edizioko Memoria - 2019
"30. Urr, 2019
",2020ko Uda Ikastaroen proposamenak jasotzeko epea azaroaren 18an amaituko da
"19. Urr, 2021
",Deskarbonizazioari aurre egiteko iraganeko erronkak gogoan
"30. Ira, 2021
",Itsaso eta klima aldaketa
"22. Ira, 2021
",Prozesuaren ideia oinarrizkoa da hiri berroneratzean
"22. Ira, 2021
","Erronka azkar eta ondo inbertitzea da, benetan mugikortasunaren ahalmen eraldatzailea duten proiektueta"
"15. Ira, 2021
","Digitalizatu, deskarbonizatzeko"
"10. Ira, 2021
","Arkitekturak zehaztu dezake nola bizi garen eta nola erlazionatzen garen, elkarri lagunduz krisi sistemikoetan erresilienteagoak izan gaitezen"
"08. Ira, 2021
",El género impuesto por la normatividad es un aprendizaje y disciplina de las diferencias
"01. Ira, 2021
","""Ez dugu esan behar okerrago biziko garela klima-aldaketa geldiarazteko, baizik eta klima-aldaketa geldiaraziko dugula hobeto bizitzeko"""
"01. Ira, 2021
",Europako Batasunaren erronka nagusiak
"27. Abu, 2021
",Azkar jokatu behar dugu. Gradu bakoitzak garrantzia du
"02. Abu, 2022
",Bakea eraikitzen Kolonbian
"02. Abu, 2022
","4.0 enpresa pertsonen, teknologiaren eta antolaketaren ekosistema da"
"02. Abu, 2022
","Apustua murriztea da, planetaren erritmoetara egokitzeko"
"02. Abu, 2022
","Ogasuna, desberdintasunaren aurkako tresna"
"02. Abu, 2022
",Luisa Etxenike - CONTAR CON ARTE. Cómo escribir (y leer) relatos inolvidables
"02. Abu, 2022
", Errusiak Ukrainari egindako erasoa eta EB berrabiarazteko ondorioak
"02. Abu, 2022
","Zientzia, hazi eraldatzailea"
"01. Abu, 2022
","Izaskun Porres - Violencia oculta; el maltrato económico, la violencia vicaria y la realidad social"
"29. Uzt, 2022
",UPV/EHUko Uda Ikastaroek “ezagutzaren alde” jarraitzen dute eta programaren erdialdera  iritsi dira
"29. Uzt, 2022
","Kontua ez da diruarena bakarrik, baizik eta Batasunak zuzenbide-estatuaren alde dituen eskumenak birplanteatzea"
"22. Uzt, 2020
",Ihobe eta APIAk biodibertsitate eta natura-ondareari buruzko Ingurumen-komunikazioaren Eskola abiatuko dute UPV/EHUren Uda Ikastaroetan
"17. Uzt, 2020
","Parte-hartzea indartuko dute Uda Ikastaroek, Gipuzkoako Foru Aldundiaren eskutik"
"14. Uzt, 2020
",Herritarrak kohesionatuz
"26. Eka, 2020
","Adimen artifiziala itxaroten idazten ikasiz, futbolera jolasten dugun bitartean"
"24. Eka, 2020
",Arkeometriarekin hasi eta Espainiako trantsizioan amaitu genuen
"24. Eka, 2020
","Bizi eta zahartu, ahal bada, lagunduta"
"17. Eka, 2020
","Eskola diseinatuz, aske izateko zientzia ikasiz"
"16. Eka, 2020
",Osasun Publikoaren ikuspuntutik
"11. Eka, 2020
","Nire mezua jakinarazi, irudiak irakurri eta irudia sortu"
"09. Eka, 2020
",Ignacio Zuluagaren tailerretik DJaren partituretara
"08. Uzt, 2022
",Mikel Mancisidor - Los Ercilla como paradigma de una época
"27. Eka, 2022
",Aintzane Encinas | Real Sociedad de Fútbol. UEFA PRO.
"26. Eka, 2022
","LAURA ROJAS-MARCOS - ""La adaptación saludable a los cambios"""
"21. Eka, 2022
",Arrantza jasangarria eta Klima-Aldaketa
"16. Mai, 2022
",Itsas kutsadura eta klima-aldaketa
"05. Mai, 2022
",Ezagutzaren alde
"04. Mai, 2022
",Lehen sektorea eta Aldaketa Klimatikoa
"22. Api, 2022
", Nola ikasi ardiengandik bulego batean ulertzen ez dena
"28. Mar, 2022
",Osasuna eta ingurumena lotzea
"25. Mar, 2022
","“Oso zaila da zehazki jakitea zer gertatuko den eta non"""
"16. Eka, 2022
",Adimen artifiziala emakume eta seme-alabekiko indarkeria matxistaren aurka
"16. Eka, 2022
",“Biktimentzat onena biktima ez izatea da”
"08. Eka, 2022
",Terapia aurreratu pertsonalizatuak: medikuntzaren etorkizuna
"31. Mai, 2022
",Europak fabrikazioan erreferente izan behar du
"16. Mai, 2022
",Itsas kutsadura eta klima-aldaketa
"04. Mai, 2022
",Lehen sektorea eta Aldaketa Klimatikoa
"22. Api, 2022
", Nola ikasi ardiengandik bulego batean ulertzen ez dena
"28. Mar, 2022
",Osasuna eta ingurumena lotzea
"25. Mar, 2022
","“Oso zaila da zehazki jakitea zer gertatuko den eta non"""
"02. Mar, 2022
",Basoak eta Klima Aldaketa
"29. Uzt, 2022
","“La Agenda 2030 reconoce los riesgos futuros, pero no tiene los mecanismos políticos para reconocerlos en la propia agenda”"
"29. Uzt, 2022
",Diru-sarrerak Bermatzeko Lege berriak ebaluazio-organo independente bat aurreikusten du
"29. Uzt, 2022
",Mesa redonda - Videovigilancia policial y Derechos: una relación compleja
"29. Uzt, 2022
",Dina Garzón - Cambio climático y feminismo: repensar el presente para construir el futuro
"29. Uzt, 2022
",Aizpea Goenaga - Teloia Gora! Haur eta gazteekin antzerkia egiteko gida
"28. Uzt, 2022
","Laura Solana Garzón - La traducción, una actividad en continua transformación tecnológica"
"28. Uzt, 2022
",Urtzi Etxeberria - Euskararen atlasak: eginikoak eta egitekoak
"27. Uzt, 2022
",Miriam Campos Leirós - Educación ecosocial para los retos del siglo XXI
"27. Uzt, 2022
",Isabelle Tauzin-Castellanos - Histoire des migrations transfrontalières dans les Amériques
"27. Uzt, 2022
",Mariasun Landa - Idazteko gogotik kontaketa literariora
"05. Eka, 2020
",Iraunkortasun Foroa bultzatzea adostu dute euskal erakundeek
"02. Eka, 2020
",Eta nik zer egingo dut?
"01. Eka, 2020
",Osasun Publikoa auzi etiko gisa
"31. Mai, 2020
",Galdera berrietarako erantzunak
"21. Mai, 2020
",Bizi dugun egoera argitzea helburutzat harturik aurkeztu dugu 39. edizioa
"22. Api, 2020
",Gaurkotasun handiko eztabaida
"17. Api, 2020
",UPV/EHUko Uda Ikastaroak aurtengo edizioaren programaren egokitzapena amaitzen ari dira COVID-19aren egoerari aurre egiteko
"14. Api, 2020
",Formakuntza profesionala terrorismo jihadistaren munduan
"09. Api, 2020
",Gure ikasleak etorkizunerako prestatzen
"08. Api, 2020
",Hezkuntza ez da gelditzen
"18. Ots, 2022
",Artikoa eta klima aldaketa
"28. Urt, 2022
",Hezeguneen balio ekologikoa: bizitza eta garapena
"20. Abe, 2021
","“Dagoeneko ez gara planeta salbatzeaz ari, krisi klimatikoaren ondorioz arriskuan dauden gizakiez hitz egin behar dugu"""
"30. Aza, 2021
",Elikagaien soberakinak emateko praktika egokiei buruzko tailerra: elikagaien hondakinak murrizten dituen soluzio solidarioa
"19. Aza, 2021
","Artikutza, Donostiako iraunkortasunerako elementua"
"12. Aza, 2021
",Elikagaiak alferrik xahutzeko ohitura errotik kentzea ez da borondate kontua
"29. Urr, 2021
",Hirietako gune berdeak ez dira lorez betetako zelaiak
"28. Urr, 2021
",Gizarte inflexio puntuak: planeta salbatzeko aukerak
"27. Urr, 2021
","Mendira igo aurretik, begiratu geoEuskadi-ren bisoreari"
"27. Urr, 2021
","Xabier Garitano: Erabakiak ez dira zeruari begiratuz hartzen, teknologiak ematen dizkigun datuei begiratuz baizik"
"28. Urr, 2022
",Mugikortasun jasangarriaren erronka: baterien eta hidrogenoaren artean
"18. Urr, 2022
","Iosu Ibarbia - Mugikortasun jasangarria, erronka eta aukera"
"17. Urr, 2022
", Gazte Ekoliderrak - Jasangarritasunean eta ekolidergoan trebatutako gazteak
"14. Urr, 2022
",Julen Linazasoro - Indarkeria digitala adingabe eta gazteengan - Nazioarteko Biktimologiako 17. Sinposioa
"30. Ira, 2022
","Oraindik ez gaude prest, baina terrorismo-delituetan ere justizia leheneratzailearen aldeko apustua egiten dut"
"30. Ira, 2022
",Osasun Digitalari buruzko Nazioarteko IX. Kongresuak eduki eta partehartze arrakastatsua izan du
"26. Ira, 2022
",El Salvadorko Hezkuntza Ministerioarekin eta Ayuda en Acción-ekin elkarlanean hezkuntza berriztatzeko ikastaroari hasiera eman diogu
"22. Ira, 2022
",UPV/EHUko Uda Ikastaroak inoiz ez bezalako parte hartzea eta nazioartekotzea lortu dute
"19. Ira, 2022
",Ez du balio prentsan ateratzea zuhaitzak landatzen aldez aurreko ikerketarik egin gabe
"15. Ira, 2022
",Dunia Marinas Suárez - (II) Violencia sobre la mujer: retos y desafíos en torno al Convenio Estambul
"29. Uzt, 2022
",UPV/EHUko Uda Ikastaroek “ezagutzaren alde” jarraitzen dute eta programaren erdialdera  iritsi dira
"26. Uzt, 2022
",Mugaz Gaindiko Uda Ikastaroen – UNUM lehenengo edizioa arrakasta lankidetzan eta parte-hartzean
"22. Uzt, 2022
",“Itsasoari begira dagoen unibertsitatea” Mugaz gaindiko Uda Ikastaro arrakastatsuak jarraipena izango du
"20. Uzt, 2022
",Igartzak Mugikortasun Adimentsuari buruzko  Uda Ikastaroa hartuko du irailaren 15ean
"19. Uzt, 2022
",UNUM Mugaz Gaindiko Uda Ikastaroen  lehen edizioa abian da
"15. Eka, 2022
",Bilboko Udalak eta UPV/EHU-ko Uda Ikastaroek KulturGest Bilbao programa aurkeztu dute 
"09. Eka, 2022
",UNUM Mugaz Gaindiko Uda Ikastaroen lehen edizioa Baionan ospatuko da
"27. Mai, 2022
",Ezagutzaren alde
"05. Mai, 2022
",Ezagutzaren alde
"17. Urt, 2022
",Online ikastaroen programa (2022)
"14. Ira, 2022
",Belen Compains - (I) Mod. intervención educativa y sociosanitaria en niños bilingües con TDL y DEA
"14. Ira, 2022
","Nausica Sánchez - Eduardo Chillida Eskola II. edizioa. Artea, natura eta etika"
"14. Ira, 2022
","Inmaculada Sánchez - Modelos de Atención a las Personas Mayores. Si no en casa, como en casa."
"12. Ira, 2022
",Maitane Barrenetxea - Udalok norekin eta nola partekatu behar dugu boterea? Ausazko metodologiak
"10. Ira, 2022
",Mercedes Bautista - La cara oculta de la violencia sexual
"05. Ira, 2022
",Marta Parra - Arquitecturas para el envejecimiento
"05. Ira, 2022
",Iñaki Irusta - Ciencias Forenses y Criminalística
"02. Ira, 2022
",Laura Pego - Ciencias Forenses y Criminalística
"01. Ira, 2022
",Francisco Etxeberria - Ciencias Forenses y Criminalística
"02. Abu, 2022
",Luisa Etxenike - CONTAR CON ARTE. Cómo escribir (y leer) relatos inolvidables
"31. Abu, 2022
","“Biztanleriaren zati bat energiaren benetako prezioetan jarri behar da, benetan zenbat kostatzen den jakin eta aurrezten jakin dezan”"
"02. Abu, 2022
",Bakea eraikitzen Kolonbian
"02. Abu, 2022
","4.0 enpresa pertsonen, teknologiaren eta antolaketaren ekosistema da"
"02. Abu, 2022
","Apustua murriztea da, planetaren erritmoetara egokitzeko"
"02. Abu, 2022
","Ogasuna, desberdintasunaren aurkako tresna"
"02. Abu, 2022
", Errusiak Ukrainari egindako erasoa eta EB berrabiarazteko ondorioak
"02. Abu, 2022
","Zientzia, hazi eraldatzailea"
"29. Uzt, 2022
","Kontua ez da diruarena bakarrik, baizik eta Batasunak zuzenbide-estatuaren alde dituen eskumenak birplanteatzea"
"29. Uzt, 2022
","“La Agenda 2030 reconoce los riesgos futuros, pero no tiene los mecanismos políticos para reconocerlos en la propia agenda”"
"29. Uzt, 2022
",Diru-sarrerak Bermatzeko Lege berriak ebaluazio-organo independente bat aurreikusten du
"13. Ots, 2023
",Azpeitian ospatu den lehenengo Topaguneak parte hartzeko metodo berriei bidea ireki die
"30. Urt, 2023
",Gazteak jasangarritasunean eta lidergoan trebatzen dituen Gazte Ekoliderrak programaren edizio berria abian da
"26. Urt, 2023
",ERRONKA GARBIAREN PARTE GARA
"23. Urt, 2023
",Antonio Cerrillo -  Ingurumen-kazetaria
"16. Urt, 2023
",2022ko memoria aurkezten dizuegu
"05. Urt, 2023
","Antonio Cerrillo, ingurumen kazetaria: ""Ekoantsietatea gainditzeak eraikitzera eta ezer egin gabe begiratzen ez jarraitzera bideratutako neurriak eskatzen ditu"""
"23. Abe, 2022
", Gipuzkoako Foru Aldundiak eta UIK-ak partaidetza sustatzeko topaguneak abian jarri dituzte
"20. Abe, 2022
",2023rako Mugaz Gaindiko Uda Ikastaroen proposamenak jasotzeko epea zabaldu da
"14. Abe, 2022
","Klima aldaketari buruzko goi bilera, COP27. Aldaketa berririk?"
"02. Aza, 2022
","UPV/EHUko Uda Ikastaroak Fundazioak ireki egin du 2023ko Uda Ikastaroak aurkezteko epea, abenduaren 2ra arte luzatuko da"
"30. Urt, 2023
",Gazteak jasangarritasunean eta lidergoan trebatzen dituen Gazte Ekoliderrak programaren edizio berria abian da
"26. Urt, 2023
",ERRONKA GARBIAREN PARTE GARA
"16. Urt, 2023
",2022ko memoria aurkezten dizuegu
"23. Abe, 2022
", Gipuzkoako Foru Aldundiak eta UIK-ak partaidetza sustatzeko topaguneak abian jarri dituzte
"20. Abe, 2022
",2023rako Mugaz Gaindiko Uda Ikastaroen proposamenak jasotzeko epea zabaldu da
"02. Aza, 2022
","UPV/EHUko Uda Ikastaroak Fundazioak ireki egin du 2023ko Uda Ikastaroak aurkezteko epea, abenduaren 2ra arte luzatuko da"
"17. Urr, 2022
", Gazte Ekoliderrak - Jasangarritasunean eta ekolidergoan trebatutako gazteak
"30. Ira, 2022
",Osasun Digitalari buruzko Nazioarteko IX. Kongresuak eduki eta partehartze arrakastatsua izan du
"26. Ira, 2022
",El Salvadorko Hezkuntza Ministerioarekin eta Ayuda en Acción-ekin elkarlanean hezkuntza berriztatzeko ikastaroari hasiera eman diogu
"22. Ira, 2022
",UPV/EHUko Uda Ikastaroak inoiz ez bezalako parte hartzea eta nazioartekotzea lortu dute
"13. Ots, 2023
",Azpeitian ospatu den lehenengo Topaguneak parte hartzeko metodo berriei bidea ireki die
"23. Urt, 2023
",Antonio Cerrillo -  Ingurumen-kazetaria
"18. Urr, 2022
","Iosu Ibarbia - Mugikortasun jasangarria, erronka eta aukera"
"14. Urr, 2022
",Julen Linazasoro - Indarkeria digitala adingabe eta gazteengan - Nazioarteko Biktimologiako 17. Sinposioa
"15. Ira, 2022
",Dunia Marinas Suárez - (II) Violencia sobre la mujer: retos y desafíos en torno al Convenio Estambul
"15. Ira, 2022
",Dunia Marinas Suárez - (I) Violencia sobre la mujer: retos y desafíos en torno al Convenio Estambul
"15. Ira, 2022
","Ana María Alonso - Escuela de Comunicación Ambiental 2022. Crisis ecológica, crisis sanitaria"
"14. Ira, 2022
",Leire Artola - Smart Mobility: Mugikortasun adimentsu eta jasangarri bateruntz
"14. Ira, 2022
",Mª Jose Ezeizabarrena - AFNH dituzten haur elebidunekin esku-hartzeko ereduak
"14. Ira, 2022
",Belen Compains - (II) Mod. intervención educativa y sociosanitaria en niños bilingües con TDL y DEA
"13. Ots, 2023
",Azpeitian ospatu den lehenengo Topaguneak parte hartzeko metodo berriei bidea ireki die
"05. Urt, 2023
","Antonio Cerrillo, ingurumen kazetaria: ""Ekoantsietatea gainditzeak eraikitzera eta ezer egin gabe begiratzen ez jarraitzera bideratutako neurriak eskatzen ditu"""
"14. Abe, 2022
","Klima aldaketari buruzko goi bilera, COP27. Aldaketa berririk?"
"28. Urr, 2022
",Mugikortasun jasangarriaren erronka: baterien eta hidrogenoaren artean
"30. Ira, 2022
","Oraindik ez gaude prest, baina terrorismo-delituetan ere justizia leheneratzailearen aldeko apustua egiten dut"
"19. Ira, 2022
",Ez du balio prentsan ateratzea zuhaitzak landatzen aldez aurreko ikerketarik egin gabe
"12. Ira, 2022
",Emakumeek beren burua ahalduntzen dute
"07. Ira, 2022
","Etxebizitza vs Osasuna. Goitik begiratuta, non eta nola jokatzen jakiteko"
"07. Ira, 2022
",Hirigintza-diseinu guztiak eragin nabarmena du herritarren osasunean
"06. Ira, 2022
",Gaur egungo bizitzako min askok gure bizitza espiritualaren mutilazioarekin dute zerikusi
"15. Ira, 2022
",Dunia Marinas Suárez - (I) Violencia sobre la mujer: retos y desafíos en torno al Convenio Estambul
"15. Ira, 2022
","Ana María Alonso - Escuela de Comunicación Ambiental 2022. Crisis ecológica, crisis sanitaria"
"14. Ira, 2022
",Leire Artola - Smart Mobility: Mugikortasun adimentsu eta jasangarri bateruntz
"14. Ira, 2022
",Mª Jose Ezeizabarrena - AFNH dituzten haur elebidunekin esku-hartzeko ereduak
"14. Ira, 2022
",Belen Compains - (II) Mod. intervención educativa y sociosanitaria en niños bilingües con TDL y DEA
"14. Ira, 2022
",Belen Compains - (I) Mod. intervención educativa y sociosanitaria en niños bilingües con TDL y DEA
"14. Ira, 2022
","Nausica Sánchez - Eduardo Chillida Eskola II. edizioa. Artea, natura eta etika"
"14. Ira, 2022
","Inmaculada Sánchez - Modelos de Atención a las Personas Mayores. Si no en casa, como en casa."
"12. Ira, 2022
",Maitane Barrenetxea - Udalok norekin eta nola partekatu behar dugu boterea? Ausazko metodologiak
"12. Ira, 2022
",Emakumeek beren burua ahalduntzen dute
"20. Abe, 2021
",UPV/EHUren 40 urteko Uda Ikastaroen memoria akademikoa
"20. Abe, 2021
",“Sinboloen eta Hitzen artean.UPV/EHUko Uda Ikastaroen 40 urteak”
"14. Abe, 2021
",Aurtengo edizioaren memoria (2021)
"22. Aza, 2021
",Donostia Sustainability Forumerako Uda Ikastaroen proposamenetarako ideiak
"28. Urr, 2021
",Eskerrik asko Ricardo!
"29. Ira, 2021
",UPV/EHUko Uda Ikastaroak indarberrituta atera dira pandemiatik
"03. Eka, 2021
","""Kostalde Harritsua: Geologia, Ekologia, Eskultura"" sinposioa"
"28. Mai, 2021
",Basque Green Deal eta Donostia Sustainability Forum elkarlanean iraunkortasunaren alde
"27. Mai, 2021
","UPV/EHUko Uda Ikastaroek 25 proposamen eskaintzen dituzte Bizkaian, era guztietako gaiak berrikasteko"
"26. Mai, 2021
","""Irakasteko Ikasten"" eta ""Bizitzaren Bidaia"" programak aurkeztu ditugu"
"01. Abu, 2022
","Izaskun Porres - Violencia oculta; el maltrato económico, la violencia vicaria y la realidad social"
"29. Uzt, 2022
",Mesa redonda - Videovigilancia policial y Derechos: una relación compleja
"29. Uzt, 2022
",Dina Garzón - Cambio climático y feminismo: repensar el presente para construir el futuro
"29. Uzt, 2022
",Aizpea Goenaga - Teloia Gora! Haur eta gazteekin antzerkia egiteko gida
"28. Uzt, 2022
","Laura Solana Garzón - La traducción, una actividad en continua transformación tecnológica"
"28. Uzt, 2022
",Urtzi Etxeberria - Euskararen atlasak: eginikoak eta egitekoak
"27. Uzt, 2022
",Miriam Campos Leirós - Educación ecosocial para los retos del siglo XXI
"27. Uzt, 2022
",Isabelle Tauzin-Castellanos - Histoire des migrations transfrontalières dans les Amériques
"27. Uzt, 2022
",Mariasun Landa - Idazteko gogotik kontaketa literariora
"22. Uzt, 2022
",Oscar Alvarez - Historia de la migración transfronteriza en América y representaciones culturales
"20. Uzt, 2022
",Hezkuntza ekosozialaren balioa ingurunea hobetzeko eta komunitate gisa aurrera egiteko
"19. Uzt, 2022
",Europako autonomia estrategikoa garuneko heriotza egoeran dago?
"15. Uzt, 2022
",Ezin dugu onartu ibuprofenoak gure gorputzari esatea ez duela hanturaren aurkako botikarik behar
"06. Uzt, 2022
",Juan Carlos Monedero eta Oscar Alzagaren arteko eztabaida
"04. Uzt, 2022
",Hidrogenoa etorkizuneko apustua plastikoa birziklatzen dugun bitartean
"04. Uzt, 2022
",Utz diezaiogun informazioa emateari eta has gaitezen komunikatzen
"04. Uzt, 2022
", Krisiak aprobetxatu behar dira aldaketak egiteko
"04. Uzt, 2022
","90eko hamarkadako energia-garapena erabiltzen dugu gaur egun, orain egiten duguna 2050ean egongo da martxan"
"30. Eka, 2022
",Zer egin dezakegu?
"30. Eka, 2022
",Gipuzkoa orain ala betiko
"10. Ira, 2022
",Mercedes Bautista - La cara oculta de la violencia sexual
"07. Ira, 2022
","Etxebizitza vs Osasuna. Goitik begiratuta, non eta nola jokatzen jakiteko"
"07. Ira, 2022
",Hirigintza-diseinu guztiak eragin nabarmena du herritarren osasunean
"06. Ira, 2022
",Gaur egungo bizitzako min askok gure bizitza espiritualaren mutilazioarekin dute zerikusi
"05. Ira, 2022
",Marta Parra - Arquitecturas para el envejecimiento
"05. Ira, 2022
",Iñaki Irusta - Ciencias Forenses y Criminalística
"02. Ira, 2022
",Laura Pego - Ciencias Forenses y Criminalística
"01. Ira, 2022
",Francisco Etxeberria - Ciencias Forenses y Criminalística
"31. Abu, 2022
","Cohousing batean, arkitektura komunitateko bizitza errazteko diseinatzen da, elkar topatzea eta zaintzea modu naturalean gerta dadin"
"31. Abu, 2022
","“Biztanleriaren zati bat energiaren benetako prezioetan jarri behar da, benetan zenbat kostatzen den jakin eta aurrezten jakin dezan”"
"14. Mai, 2021
",Natura eta Artea DSFn
"14. Api, 2021
",BERRIKAS DEZAGUN
"08. Api, 2021
",Urdaibai Biosfera Erreserbako gidari eta interprete homologatuen III. Ikastaroa
"21. Abe, 2020
",2020ko Uda Ikastaroen Memoria
"14. Abe, 2020
",Ikasgelan testuak ulertzen lagunduz
"10. Abe, 2020
",Turismo jasangarriaren aldeko apustua
"03. Aza, 2020
",2021erako Uda Ikastaroen proposamenak jasotzeko epea zabalik
"29. Urr, 2020
",Aurten udazkenean bukatuko diren Uda Ikastaroen 39. Edizioak harrera aparta izan du
"21. Urr, 2020
",Aubixak eta Aldundiak Euskadiko herritarrek zainketekin duten konpromisoari eta belaunaldien arteko itun berri bati buruzko lehen inkesta egin dute
"28. Uzt, 2020
",Uda Ikastaroak Topagune izaten jarraitzen dute COVID-19aren krisialdian
"22. Uzt, 2022
",Itziar Cortés - Itzulpengintza etengabeko eraldaketa teknologikoan murgilduta
"22. Uzt, 2022
",Beñat Çuburu-Ithorotz - Historia de la migración transfronteriza en América y sus representaciones
"21. Uzt, 2022
","Miren Estensoro - EUSKAL EUROHIRIA, mugaz gaindiko polizentrismo-eredua"
"20. Uzt, 2022
",Cristina Alonso Saavedra - Cambio climático y feminismo
"20. Uzt, 2022
","Christophe Sohn - EUROCITÉS BASQUES, modèle de polycentrisme transfrontalier"
"20. Uzt, 2022
",Giacomo Delledonne - La cooperación transfronteriza a prueba de las crisis europeas
"20. Uzt, 2022
",Hezkuntza ekosozialaren balioa ingurunea hobetzeko eta komunitate gisa aurrera egiteko
"18. Uzt, 2022
",Fabienne Pinos - Développement territorial solidaire : l'apport des monnaies locales
"14. Uzt, 2022
",Carlos Briones - La domesticación de la energía
"11. Uzt, 2022
",Francisco Aldecoa - La agresión rusa a Ucrania
"29. Eka, 2022
",Mexikoko ikasle guztiek badakite nor izan zen Cuauhtemoc. Espainiarrek badakite nor izan zen Hernan Cortes?
"28. Eka, 2022
",“Ekonomia Zirkularraren alderdi txarra da egin beharreko aldaketei ez ekiteko eslogan gisa erabiltzen dela zenbaitetan”
"24. Eka, 2022
",Surfrider
"23. Eka, 2022
",Mugikortasun jasangarria eta Aldaketa Klimatikoa
"22. Eka, 2022
",Moda iraunkorra eta Klima Aldaketa
"21. Eka, 2022
",Ingurumen zuzenbideko masterraren 25.urteurrena
"21. Eka, 2022
",Arrantza jasangarria eta Klima-Aldaketa
"21. Eka, 2022
",Kokapen anitzeko mugak
"21. Eka, 2022
",Brasilgo justizia kriminalaren sistema gero eta gehiago da erantzukizunik aitortzen ez duen “akordioen” sistema bat
"20. Eka, 2022
","Lehen laguntza psikologikoak emateak, lehen minututik hasita, diagnostikoa hobetzen du"
"09. Eka, 2022
",UNUM Mugaz Gaindiko Uda Ikastaroen lehen edizioa Baionan ospatuko da
"08. Eka, 2022
",Terapia aurreratu pertsonalizatuak: medikuntzaren etorkizuna
"31. Mai, 2022
",Europak fabrikazioan erreferente izan behar du
"27. Mai, 2022
",Ezagutzaren alde
"16. Mai, 2022
",Itsas kutsadura eta klima-aldaketa
"05. Mai, 2022
",Ezagutzaren alde
"04. Mai, 2022
",Lehen sektorea eta Aldaketa Klimatikoa
